model,auc,accuracy,precision,recall,f1
tfidf-LogisticRegression,0.7889500688274309,0.7154150197628458,0.7251908396946565,0.7251908396946565,0.7251908396946565
tfidf-SVM,0.7884495056939056,0.7272727272727273,0.7313432835820896,0.7480916030534351,0.7396226415094339
gpt2-XGBoost,0.7880740833437618,0.7272727272727273,0.7012987012987013,0.8244274809160306,0.7578947368421053
gpt2-LogisticRegression,0.7828807408334376,0.7154150197628458,0.7218045112781954,0.732824427480916,0.7272727272727273
tfidf-XGBoost,0.774183456388437,0.7035573122529645,0.7121212121212122,0.7175572519083969,0.714828897338403
bow-SVM,0.7726191965961706,0.6956521739130435,0.6666666666666666,0.8244274809160306,0.7372013651877133
tfidf-RandomForest,0.7699286697534726,0.6996047430830039,0.7007299270072993,0.732824427480916,0.7164179104477612
gpt2-RandomForest,0.7656113127268176,0.7075098814229249,0.7021276595744681,0.7557251908396947,0.7279411764705882
bow-RandomForest,0.7624202227505944,0.6798418972332015,0.6712328767123288,0.7480916030534351,0.7075812274368231
zero-shot-bart-large-mnli,0.7596671255162056,0.7114624505928854,0.7164179104477612,0.732824427480916,0.7245283018867924
word2vec-XGBoost,0.7393943186084345,0.6877470355731226,0.6805555555555556,0.7480916030534351,0.7127272727272728
bow-XGBoost,0.7280690777124265,0.6719367588932806,0.6690140845070423,0.7251908396946565,0.6959706959706959
word2vec-LogisticRegression,0.7260668251783257,0.6877470355731226,0.7166666666666667,0.6564885496183206,0.6852589641434262
word2vec-SVM,0.7226254536353397,0.6521739130434783,0.7311827956989247,0.5190839694656488,0.6071428571428571
word2vec-RandomForest,0.708547115504943,0.6719367588932806,0.6666666666666666,0.732824427480916,0.6981818181818182
bow-LogisticRegression,0.6981604304842948,0.6245059288537549,0.6232876712328768,0.6946564885496184,0.6570397111913358
few-shot-llama3,0.6183831810787136,0.6205533596837944,0.6223776223776224,0.6793893129770993,0.6496350364963503
gpt2-SVM,0.5922287573520211,0.5296442687747036,0.5714285714285714,0.366412213740458,0.44651162790697674
few-shot-deepseek-r1,0.5191152546614942,0.5098814229249012,0.5573770491803278,0.2595419847328244,0.3541666666666667
